,en,es,fr,id,jp,th,vi,zh,tr
AM,AM,AM,AM,PAGI,AM,เช้า,Sáng,上午,Sabah
AbnormalColor,Abnormal Color,Color anormal,Couleur anormale,Warna Tidak Normal,異常カラー,สีผิดปกติ,Màu sắc bất thường,異常,Anormal Renk
AccessControl,Access Control,Control de acceso,Contrôle d'accès,Akses Kontrol,アクセスコントロール,การควบคุมการเข้าถึง,Kiểm soát truy cập,門禁,Erişim Kontrolü
AccessControlDeviceSettings,Device Settings,Configuración de dispositivo,Réglages de l'appareil,Pengaturan Perangkat,デバイス設定,การตั้งค่าอุปกรณ์,Cài đặt thiết bị,門禁裝置設定,Cihaz Ayarları
AccessControlDeviceType,Type,Tipo,Taper,Jenis,デバイスの種類,พิมพ์,Kiểu,門禁裝置類別,Tip
AccessControlManagement,Settings Management,Gestión de configuraciones,Gestion des paramètres,Manajemen Pengaturan,設定,การจัดการการตั้งค่า,Quản lý cài đặt,門禁管理,Ayarlar Yönetimi
AccessControlName,Access Control Name,Nombre de control de acceso,Nom du contrôle d'accès,Nama Akses Kontrol,名前,ชื่อการควบคุมการเข้าถึง,Tên kiểm soát truy cập,門禁名稱,Erişim Kontrol Adı
AccessControlSettingsList,Access Control Settings List,Lista de configuración de control de acceso,Liste des paramètres de contrôle d'accès,Daftar Pengaturan Akses Kontrol,アクセスレベル設定リスト,รายการการตั้งค่าการควบคุมการเข้าถึง,Danh sách cài đặt kiểm soát truy cập,門禁設定列表,Erişim Kontrol Ayarları Listesi
AccessRules,Access Rules,Reglas de acceso,Règles d'accès,Aturan Akses,アクセスルール,การเข้าถึงกฎ,Quy tắc truy cập,事件規則,Erişim Kuralları
AccessType,Access Type,Tipo de acceso,Type d'accès,Jenis Akses,アクセスタイプ,ประเภทการเข้าถึง,Loại truy cập,類型,Erişim Türü
Account,Account Name,Nombre de la cuenta,Nom du compte,Nama Akun,アカウント,ชื่อบัญชี,Tên tài khoản,帳號,Hesap Adı
AccountInfo,Account Info,Informacion de cuenta,Informations de compte,Informasi Akun,アカウント情報,ข้อมูลบัญชี,Thông tin tài khoản,帳號資訊,Hesap Bilgileri
AccountManagement,Account,Cuenta,Compte,Akun,アカウント,บัญชี,Tài khoản,帳號管理,Hesap
Acknowledge,Acknowledge,Reconocer,Reconnaître,Pengakuan,確認,รับทราบ,Công nhận,確認,Kabullenmek
Action,Action,Acción,Action,Tindakan,アクション,การกระทำ,Hoạt động,採取動作,Aksiyon
ActionRule,Access Rule,Regla de acceso,Règle d'accès,Aturan Akses,アクセスルール,กฎการเข้าถึง,Quy tắc truy cập,事件規則,Erişim Kuralı
ActionRuleInfo,Access Rule Info,Información de la regla de acceso,Informations sur les règles d'accès,Info Aturan Akses,アクセスルール情報,ข้อมูลกฎการเข้าถึง,Thông tin quy tắc truy cập,規則資訊,Erişim Kuralı Bilgileri
ActionRuleManagement,Access Rules,Reglas de acceso,Règles d'accès,Aturan Akses,アクセスルール管理,การเข้าถึงกฎ,Quy tắc truy cập,事件規則管理,Erişim Kuralları
ActionRuleName,Acess Rule Name,Nombre de la regla de la acción,Nom de la règle d'access,Nama Aturan Akses,アクセスルール名,ชื่อกฎ ACESS,Tên quy tắc truy cập,規則名稱,Erişim Kuralı Adı
Add,Add,Agregar,Ajouter,Tambah,追加,เพิ่ม,Thêm,新增,Eklemek
AddEvent,Add Event,Añadir evento,Ajouter un évènement,Tambahkan Event,イベント追加,เพิ่มเหตุการณ์,Thêm sự kiện,新增事件,Etkinlik Ekle
AddPerson,Add Person,Agregar persona,Ajouter une personne,Tambahkan Orang,パーソン追加,เพิ่มบุคคล,Thêm người,新增人員,Kişi Ekle
AddROI,Create,Crear,Créer,Buat,ROI追加,สร้าง,Tạo,新增,Yaratmak
